iteration,value,best_value,parameters
0,14625.348679122397,14625.348679122397,"[0.5018784296841601, 0.23803662394305358, 0.2978357788171744, 0.3535723779143338, 0.8723779577436587, 3299.5689919776273, 36.32834940244085]"
1,14646.34882508749,14646.34882508749,"[0.98188044908681, 0.3658152532327137, 0.6398264102700567, 0.8205042759185693, 0.3855841032555496, 4140.15615554907, 33.0120022262969]"
2,14664.348619180138,14664.348619180138,"[0.04166299637950177, 0.9007343642531305, 0.43758105762220567, 0.597929529352457, 0.8394367950456859, 1000.1458978202238, 12.570152881875087]"
3,14688.348116600033,14688.348116600033,"[0.12674904670637055, 0.2737243262442377, 0.8177952416323975, 0.4023361647484217, 0.963084043415761, 8345.57572844966, 9.16622056077416]"
4,14689.347811757823,14689.347811757823,"[0.18907367972204503, 0.8678975794230641, 0.46459054344938433, 0.47690010117871295, 0.5297540687639141, 3297.7883562896704, 28.85684618734963]"
5,14707.347421695487,14707.347421695487,"[0.8780631584134857, 0.2936466854566544, 0.5234657272672568, 0.5814835154108668, 0.8889796133644999, 9687.847939611804, 46.247087819647646]"
6,14727.347125799497,14727.347125799497,"[0.8344023964108118, 0.3073029694348377, 0.33465103212659786, 0.40251296414183646, 0.14205676903759334, 4093.9837024335634, 40.40519014731453]"
7,14741.34650069049,14741.34650069049,"[0.7628051685582131, 0.5057329153376559, 0.2322575612586979, 0.10134103911838654, 0.6189071208039475, 9692.955284111182, 46.99154456693693]"
8,14756.346145195024,14756.346145195024,"[0.4365105077128796, 0.7079808459957425, 0.45541343619892616, 0.6428919974066396, 0.48023832896972696, 9994.845917105265, 19.288224149649437]"
9,14763.345800553016,14763.345800553016,"[0.7650515316221882, 0.9296868715134508, 0.7204025350772355, 0.8731378288526181, 0.35764232419624775, 3.8451645407378, 51.39162108470957]"
10,14790.345666553447,14790.345666553447,"[0.12111809912133331, 0.7282594234045386, 0.05389467875771903, 0.9514371338661207, 0.19426638220554915, 9981.197954577605, 55.19191867508193]"
11,14807.346008516846,14807.346008516846,"[0.8647658098453845, 0.5838859445862157, 0.09957396929890594, 0.6935600504113539, 0.30476102526535587, 51.288308999355436, 37.57879862047057]"
12,14829.34696558026,14829.34696558026,"[0.5048201842273553, 0.8244008129588335, 0.575598986530705, 0.0518220526771479, 0.5575960109188697, 9994.623028136384, 46.43533102970787]"
13,14849.347127939025,14849.347127939025,"[0.4981331836387024, 0.6974309059564863, 0.7663175240368126, 0.5055651319202502, 0.38988271084775017, 5.80057641965559, 17.27084856564079]"
14,14870.347198633632,14870.347198633632,"[0.6720174621137096, 0.5808727558359752, 0.7212864209976547, 0.535967804736094, 0.6845824071649927, 9999.451600463117, 4.861830447414446]"
15,14875.347192401492,14875.347192401492,"[0.4020588458795925, 0.4270893092240152, 0.35083854886761556, 0.6830792297913335, 0.784554622063543, 17.10554927549568, 20.179644603423373]"
16,14895.347263996287,14895.347263996287,"[0.07713839960173208, 0.7771798948209773, 0.2403018492076755, 0.7045612852870292, 0.5429692786948146, 9994.229559959897, 5.348404853523077]"
17,14918.34782451271,14918.34782451271,"[0.5108652783444568, 0.6533937654103041, 0.9672021288807966, 0.34056018073825267, 0.2900444145963167, 1.1188810427897877, 28.754752389509047]"
18,14942.347765817614,14942.347765817614,"[0.4701695523597672, 0.6777735881533918, 0.1669974758745022, 0.2854799215011872, 0.21003836076843163, 5980.529467599498, 16.552052183428074]"
19,14961.34778614233,14961.34778614233,"[0.8399124277228615, 0.2966155908363507, 0.8988203840595731, 0.9586035095890931, 0.5539251748715561, 9998.54301322461, 23.883432907326487]"
20,14970.347738945855,14970.347738945855,"[0.45875836670067416, 0.4853273761941287, 0.05835936490442273, 0.07226870519559314, 0.5815443545227, 25.8762742543861, 30.920395078279338]"
21,14993.347926271337,14993.347926271337,"[0.7414373081032558, 0.06036285018095022, 0.5778404205348384, 0.600506647180564, 0.17576922789191574, 9998.736196119155, 3.299999751133049]"
22,15013.348544949235,15013.348544949235,"[0.007771539914754433, 0.0944145736357962, 0.5058259950425618, 0.07787628988775863, 0.04216595489116859, 2.3468238369750427, 43.62444936769234]"
23,15023.348492838015,15023.348492838015,"[0.4936761136747637, 0.8558989031559338, 0.6430828348321698, 0.451062750967669, 0.24657157466251212, 9988.572415490893, 20.383297529914685]"
24,15045.348489745198,15045.348489745198,"[0.4171222433051345, 0.17127220372387186, 0.9297439986663613, 0.632572042295078, 0.7000265601280724, 5.1456895624657495, 26.189206750741594]"
25,15054.34828187411,15054.34828187411,"[0.4106361474659045, 0.2654099984740811, 0.12058485862131885, 0.25575219362895385, 0.7995955590247067, 9996.781054717174, 30.73598419201023]"
26,15082.348172568665,15082.348172568665,"[0.1676036481945461, 0.14279078800757106, 0.8302952064851662, 0.39090069237259484, 0.4601391488001837, 2.1988869349098827, 26.101786059636936]"
27,15103.348203002393,15103.348203002393,"[0.6427366262950643, 0.10363235788288327, 0.320660083549694, 0.1312510520767406, 0.7511726037892877, 9984.968011109378, 4.972039313732681]"
28,15106.348121452953,15106.348121452953,"[0.2965016808769786, 0.5266344026262025, 0.13020661547995038, 0.9241520719242234, 0.44212990986404266, 12.021510717982187, 23.54784195312289]"
29,15132.348411159774,15132.348411159774,"[0.4681929889355343, 0.8357063943329439, 0.8739403908051117, 0.7270661106335341, 0.6070710367293236, 9992.836096808373, 19.633235478206064]"
30,15145.348285550615,15145.348285550615,"[0.8127414597497279, 0.981069344522925, 0.8730226240471632, 0.8042741318469772, 0.46039543081355083, 1.2683194582330248, 29.499286058826456]"
31,15164.348232576529,15164.348232576529,"[0.08932828189108322, 0.7836162650682007, 0.851264807602019, 0.30695998716245787, 0.2551475335950121, 9999.956970993435, 11.50111746393236]"
32,15179.348161041306,15179.348161041306,"[0.10455405455116629, 0.3562112444133655, 0.3176007028604326, 0.6033464339524557, 0.6192226503594763, 10.129026062580815, 39.40086498311545]"
33,15197.347796215017,15197.347796215017,"[0.906545041000353, 0.43029210372077464, 0.4667583215378992, 0.34736346270277696, 0.6489866550823714, 9995.302393652928, 50.09717960287804]"
34,15219.348173570455,15219.348173570455,"[0.9536104600337367, 0.2782744725406924, 0.4067928596315896, 0.1880124963436265, 0.9374295971601615, 20.70895478999524, 59.6550290107749]"
35,15246.348444787915,15246.348444787915,"[0.46497575634294597, 0.3030727665692279, 0.23483169648941593, 0.011320585966837382, 0.468313367865395, 9981.465518429528, 26.79856239264851]"
36,15272.348711096245,15272.348711096245,"[0.6667261303954286, 0.29012613262899134, 0.23242582614137175, 0.41936370593791994, 0.11531338146551873, 4.430599367191146, 7.361444004088938]"
37,15282.348830795254,15282.348830795254,"[0.7159129247366643, 0.08421106589231231, 0.6501012150115948, 0.31711271012632025, 0.028038859426366525, 9997.428240245406, 18.45633646391133]"
38,15300.349087929437,15300.349087929437,"[0.9377832548872337, 0.7766154794895416, 0.3358666017844144, 0.4367083786750634, 0.9756507181899216, 0.15050177966768885, 11.408582721338124]"
39,15317.34969811689,15317.34969811689,"[0.8159641597298457, 0.731747524350671, 0.1213661744201876, 0.4635878827308906, 0.8792052753166836, 9992.271254089712, 59.95030300533624]"
40,15343.350029866466,15343.350029866466,"[0.24345173987607227, 0.03113003446039786, 0.341523924480018, 0.918262127818632, 0.9785612745167468, 5.0673307647597365, 26.664115026904355]"
41,15360.34987081015,15360.34987081015,"[0.5463139293447827, 0.38902520814138575, 0.4064096500845741, 0.03909587405762838, 0.07623424918621313, 9998.058586691364, 55.31206198301939]"
42,15383.35009591136,15383.35009591136,"[0.22611332521683414, 0.7229408945069196, 0.5834306851804282, 0.5620014927676458, 0.9223444850005772, 19.869293348074855, 39.89754227123133]"
43,15396.349752126094,15396.349752126094,"[0.7405305129092898, 0.17890865931462696, 0.07042190680859584, 0.8883748208450535, 0.002370448314977569, 9971.486043575036, 10.847612428911994]"
44,15410.350058120397,15410.350058120397,"[0.241693846830783, 0.7334899797124703, 0.9715680432414637, 0.7230439182825573, 0.3801022087075926, 0.7174253135722175, 13.351272077771908]"
45,15435.349926994055,15435.349926994055,"[0.4952846375471879, 0.8396415253869938, 0.5947334118869738, 0.23197304453312928, 0.9090023191618443, 9978.276612162552, 56.27662265081396]"
46,15511.349847942307,15511.349847942307,"[0.20495981699097954, 0.29258494582795747, 0.985517232148529, 0.02914396720636625, 0.577951388542767, 17.522921119702552, 2.7183351275362555]"
47,15462.349616115185,15511.349847942307,"[0.3625793565484595, 0.8928977040739214, 0.9342260636268793, 0.8628164908623019, 0.40560381185895367, 9973.451514101227, 30.92143998789605]"
48,15477.349284351769,15511.349847942307,"[0.8670441746689521, 0.027709194763928857, 0.9236215336250337, 0.018659345324839816, 0.1920616134174129, 5552.328110064754, 59.160197889135034]"
