iteration,value,best_value,parameters
0,21053.36888719144,21053.36888719144,"[0.07400507269073486, 0.19590299284116475, 0.6860639361348958, 0.3295118863397336, 0.6909202656815899, 5761.844882523666, 36.95770571039671]"
1,21080.368743586852,21080.368743586852,"[0.09886841928885548, 0.2658215375580547, 0.3931316137532057, 0.6308580420882949, 0.6421261418457733, 4058.254661547015, 43.28591357992816]"
2,21085.368517304443,21085.368517304443,"[0.21684300787427713, 0.7523267982590962, 0.5583274368151143, 0.9369502925976262, 0.6472846304335801, 7964.766934901099, 39.82462913654609]"
3,21110.368407498998,21110.368407498998,"[0.11942402737806279, 0.5894464404568519, 0.32560264353808765, 0.7785925068393503, 0.8597978761792185, 7958.0280261816715, 41.46101682298456]"
4,21119.368011321974,21119.368011321974,"[0.7264191905754137, 0.6913417128263624, 0.6730989784408855, 0.8399980188035816, 0.2581806361530966, 3061.363729772516, 53.0002727216329]"
5,21133.367488903907,21133.367488903907,"[0.2837898106558747, 0.7383382545251619, 0.3967354095218333, 0.43220255097515914, 0.45135008530676657, 3058.8654487221534, 57.638713829957275]"
6,21145.367127999416,21145.367127999416,"[0.8937852898643256, 0.8313227407765139, 0.22884603833336148, 0.3496942513667972, 0.31042189543936793, 9992.791054793446, 16.35586631520612]"
7,21160.36690314191,21160.36690314191,"[0.16869728594435118, 0.21524429391399547, 0.9948512790727158, 0.8153714011558998, 0.4586815856383837, 6.7009263078965375, 31.675957981571486]"
8,21171.366651541528,21171.366651541528,"[0.5657565470019376, 0.5332575015103401, 0.1101913367648073, 0.32512266170451654, 0.6522144532597506, 9987.819372459784, 53.814990816803885]"
9,21191.366858516365,21191.366858516365,"[0.37681493081318573, 0.43506497605640504, 0.05064674894619137, 0.14053909037895806, 0.884451619895701, 0.3338522511875386, 37.902149271893805]"
10,21226.36769532422,21226.36769532422,"[0.9116770180122791, 0.6003994363343006, 0.7190492989908926, 0.5467038707396622, 0.8312399943720253, 9993.202828991181, 33.31102617042809]"
11,21242.367728012367,21242.367728012367,"[0.11050727111641234, 0.525994498223473, 0.8878258652725574, 0.22112763855320638, 0.8494483746743975, 26.634049981337782, 21.00698369388234]"
12,21268.36771234503,21268.36771234503,"[0.44011720660797304, 0.5902736608925743, 0.13124272863931508, 0.8381583130668597, 0.1851029165193534, 9997.45516685716, 5.3124303395783805]"
13,21272.367709901107,21272.367709901107,"[0.5667450813438939, 0.31223549559839103, 0.36360050134743527, 0.13375923306612625, 0.22500649212212098, 2.6695664364417837, 31.20314565773796]"
14,21287.36757109335,21287.36757109335,"[0.4243781489307916, 0.7281451819647665, 0.9013993060990821, 0.22942511258824072, 0.2678048011261651, 9994.860607615206, 38.60818656374401]"
15,21306.36737114329,21306.36737114329,"[0.09132490152902717, 0.3435919360608084, 0.481393673172712, 0.9293201704254734, 0.02392869780187623, 18.439275815808067, 57.74685683873902]"
16,21321.367375145026,21321.367375145026,"[0.2680632150630098, 0.5050400374818046, 0.07380064512673146, 0.8882513068951562, 0.6333956893711252, 9989.947921869545, 7.94183240317035]"
17,21327.367434373737,21327.367434373737,"[0.7861779450689838, 0.4195923415450894, 0.883927822408216, 0.9871322721954358, 0.9455442026666716, 4.821862812410815, 47.80810389066031]"
18,21347.367546107133,21347.367546107133,"[0.3702123496960682, 0.40783669460721816, 0.48623380343083267, 0.7854668567856077, 0.1975129238641674, 9999.105707826495, 24.539855912762512]"
19,21375.367643526068,21375.367643526068,"[0.5239887294286346, 0.5450272966776488, 0.6405438835664226, 0.4808264634602699, 0.2786453551648872, 0.017631298978582066, 5.354033394325941]"
