iteration,value,best_value,parameters
0,19149.364485541682,19149.364485541682,"[0.39995157169698303, 0.6312192746357346, 0.9937730784090567, 0.3167313088812199, 0.20328671321906566, 9881.270049315584, 29.88731531502558]"
1,19164.364137422122,19164.364137422122,"[0.26311442872770785, 0.7510831311163034, 0.17371540821987108, 0.38265823455654613, 0.846996108160235, 8288.39631978107, 46.319157771422276]"
2,19190.363989745278,19190.363989745278,"[0.14960348632780618, 0.5867968327529992, 0.9826036519004611, 0.7756635016716421, 0.810081866961525, 9880.154070847584, 37.068800765688266]"
3,19208.363822977255,19208.363822977255,"[0.8560519912567484, 0.8674074995356778, 0.24859082669955068, 0.642998879814122, 0.5822405251645817, 3814.434757988977, 49.92892488807041]"
4,19227.363852189723,19227.363852189723,"[0.04804241478477167, 0.7583528333638571, 0.7367315170628386, 0.5694132701032525, 0.4929299616789632, 24.86932671232345, 19.034964252633614]"
5,19324.36386438339,19324.36386438339,"[0.9169914664562818, 0.03716716313562074, 0.3752535824085518, 0.009469452837905568, 0.9889993699744948, 8.73512514916297, 3.9863982637728013]"
6,19251.36400236591,19324.36386438339,"[0.11065274077951448, 0.009073760356574034, 0.8780007240347716, 0.6582322419288825, 0.7535324019419167, 9966.275218153904, 29.69140755574996]"
7,19286.364152463153,19324.36386438339,"[0.8927803067169922, 0.8488039912079021, 0.48757760035009956, 0.5588387749847875, 0.4540868703805019, 1.1358610857559182, 24.54736610548551]"
8,19298.364457912834,19324.36386438339,"[0.5476662465904447, 0.18048338780510553, 0.39768101366709463, 0.7654758018901244, 0.0015825638527168229, 9993.987931301936, 29.43107906518007]"
9,19325.364348684318,19325.364348684318,"[0.015452929638065882, 0.3172653144412033, 0.4729863495920621, 0.8761894721705157, 0.1642464570155493, 3.025040405544299, 29.188252289353052]"
10,19337.364404986987,19337.364404986987,"[0.5950935318164672, 0.3427884110220135, 0.33840621963893613, 0.06466479294758609, 0.06164543559226787, 9997.530540097161, 45.613693461065175]"
11,19349.364457809028,19349.364457809028,"[0.34644882871905647, 0.41025929919787785, 0.48541160333570843, 0.6334631193590742, 0.26772050119226964, 19.363599602416627, 4.02884579950451]"
12,19365.36434949668,19365.36434949668,"[0.36917964405626347, 0.15783205977656078, 0.2617089435117025, 0.8665238080837877, 0.06341359700235161, 9992.706699132694, 31.49469565222917]"
13,19376.36463629443,19376.36463629443,"[0.9856613800116116, 0.45438569802241846, 0.16612498265416176, 0.4041625529891001, 0.5102636075941, 21.950916195154768, 24.38089289137866]"
14,19400.364775194386,19400.364775194386,"[0.08746207464329958, 0.9425895524632981, 0.33269556919890897, 0.7144743057711191, 0.8651494938032536, 9977.29354679743, 39.38200343197467]"
