iteration,value,best_value,parameters
15,19412.365125072334,19412.365125072334,"[0.10784540528693187, 0.9734452170889464, 0.18581383215693592, 0.29011288923225964, 0.9237585428101724, 4.4385997442997205, 13.011668442886641]"
16,19439.366026089643,19439.366026089643,"[0.4176310428621359, 0.2856122023188501, 0.0179893190174516, 0.9458505037064662, 0.47222490857523647, 9982.226408493741, 26.433814647134305]"
17,19474.36650656861,19474.36650656861,"[0.8039219161004095, 0.829674218050273, 0.5842929756690388, 0.36682259853977983, 0.586201974019671, 0.23384765649336892, 53.978977402507475]"
18,19497.366459872017,19497.366459872017,"[0.6603137097025282, 0.13460132364151933, 0.796593577531386, 0.7540557945476483, 0.25435266421267, 9980.974530155596, 39.31950375161539]"
19,19518.366309177254,19518.366309177254,"[0.31073468496857504, 0.33445952037854787, 0.43539885091774755, 0.22040338926984715, 0.7276212039954006, 5.877238903768678, 28.595263351534754]"
20,19532.366313229515,19532.366313229515,"[0.4072479751248762, 0.5958820523299323, 0.7370390424033096, 0.2479178620454553, 0.6703997500209189, 9988.647796941596, 23.531884727407583]"
21,19547.36630708026,19547.36630708026,"[0.8937000568353922, 0.7729260572734142, 0.06689728788165272, 0.22859001095565012, 0.48323315783993503, 4.8658794520606286, 33.05851387118957]"
22,19584.36744423403,19584.36744423403,"[0.6449000911716037, 0.2858904891473676, 0.11103990695276966, 0.24415436721366945, 0.9106490994362667, 9993.904518052655, 44.74476010897469]"
23,19621.367911510242,19621.367911510242,"[0.9520301515445484, 0.41198293539719466, 0.5634628911914449, 0.8482290496929236, 0.2947891099879625, 10.199485499459149, 25.20524895926598]"
24,19657.368230787386,19657.368230787386,"[0.2422083870913988, 0.41960995651142874, 0.4957773577274631, 0.6494110603299286, 0.6849537708740301, 9995.601651603016, 3.742691438463839]"
25,19633.368364264,19657.368230787386,"[0.023973360872280747, 0.8783853172530196, 0.035831101866257264, 0.06158651860820119, 0.607328864158662, 16.523951694752405, 21.6238195293421]"
26,19664.369161040682,19664.369161040682,"[0.8174419122886746, 0.8351596951436976, 0.517466197604605, 0.7142948924841791, 0.17249093791778225, 1656.813996713856, 47.692870013091735]"
27,19719.370181226233,19719.370181226233,"[0.9864056366557901, 0.5079486323304653, 0.9921275762841063, 0.6877600096562815, 0.30890478669080834, 9990.839677192032, 28.076027476480178]"
28,19739.370063262573,19739.370063262573,"[0.13289817089331046, 0.13191873152493694, 0.9392830444087193, 0.048975495842611516, 0.6759557093891891, 8188.558564435353, 39.80058033346941]"
29,19746.369627793403,19746.369627793403,"[0.08620598692802517, 0.053848744671019855, 0.11519207468532311, 0.2591713180120705, 0.015963758572923203, 8.641440833689895, 42.06743796424671]"
30,19772.369468521243,19772.369468521243,"[0.4971095107115827, 0.7636639656615272, 0.8040677028258895, 0.9306762928778315, 0.136989920966619, 9999.016018015362, 55.06310741859483]"
31,19793.369188542056,19793.369188542056,"[0.057811839114234154, 0.26234507046991784, 0.33124134785383086, 0.45799718840904524, 0.7236389993831897, 3.206581735336611, 38.63968088249043]"
32,19826.369346568707,19826.369346568707,"[0.7080672860950279, 0.5783664350586948, 0.24960273847580416, 0.01674180476473841, 0.47440605353475507, 9998.460840294183, 20.564553183327945]"
33,19846.369275106397,19846.369275106397,"[0.10231399431252808, 0.18935295189114576, 0.8906954622746486, 0.4241025472941903, 0.927791240254745, 29.538867014724524, 53.30535511401506]"
34,19860.368913148097,19860.368913148097,"[0.7464567263770746, 0.9654966626334933, 0.8187305939631812, 0.30072121294710763, 0.5896935309935131, 9998.34488194942, 15.070355323732516]"
35,19869.368692249387,19869.368692249387,"[0.1254837561669263, 0.5969141756255398, 0.7757150121134274, 0.44203401708952117, 0.5760175050067492, 8.192265390143394, 18.184560347892575]"
36,19880.368566636644,19880.368566636644,"[0.36012014947428705, 0.14247978356658908, 0.9990286108828151, 0.2734581211836137, 0.12497863504277806, 9981.726762516886, 30.913277476899065]"
37,19904.368570836097,19904.368570836097,"[0.20837833596710886, 0.9378390253902409, 0.37286662972285023, 0.9655088644882247, 0.7245216006623858, 0.5099548911424723, 16.893862140260087]"
38,19918.368537082137,19918.368537082137,"[0.00504413991015229, 0.607676773377654, 0.2561900870743623, 0.27828716872782566, 0.8668176619854681, 6800.898943230272, 26.790331175321235]"
39,19944.368558948576,19944.368558948576,"[0.1384405995587631, 0.5018120123924433, 0.8923763792226681, 0.9868671461110575, 0.3801849465913518, 9998.991554028198, 33.12699718087677]"
40,19964.368269892515,19964.368269892515,"[0.35852302656046287, 0.505474477238211, 0.22461170201945857, 0.5043861213123977, 0.05687027562455238, 0.401024230148872, 5.532249332459416]"
41,19966.368025481264,19966.368025481264,"[0.32255224768617874, 0.30006829332528495, 0.02632029469851127, 0.49598800113105135, 0.5358726971496456, 9995.200239596292, 28.155064350347846]"
42,19986.368061942583,19986.368061942583,"[0.6688598314226695, 0.21860539899006093, 0.6345246599037802, 0.48378093227955654, 0.6749865362523024, 7.810137161959885, 57.813143756552186]"
43,20013.368122980537,20013.368122980537,"[0.8667731025226489, 0.24463716726569218, 0.35920984193949523, 0.3235517348087231, 0.8732936943114086, 9996.774614808834, 49.820673796979605]"
44,20027.36810720456,20027.36810720456,"[0.9435669979324729, 0.7457466756546914, 0.8205856355600057, 0.04453968570670286, 0.10508229898765664, 46.69352054608833, 31.051613308197034]"
45,20058.368229971275,20058.368229971275,"[0.14721807489947103, 0.5191808275254476, 0.7051165677809123, 0.5143839620880309, 0.3196935817801152, 9989.3692742396, 18.106687980525045]"
46,20069.368180450325,20069.368180450325,"[0.06942348924373254, 0.517338120481721, 0.4314240933063511, 0.5666161270989013, 0.3166051894741958, 4.245782640147633, 46.29274126653211]"
47,20089.368110464307,20089.368110464307,"[0.34823068242957644, 0.8408252449761289, 0.22896578527669065, 0.40776220765518534, 0.6181901816111214, 9959.59859018062, 4.483183361915557]"
48,20097.368129269707,20097.368129269707,"[0.5524217686129237, 0.07769342739171858, 0.5981452886617578, 0.5905091955962003, 0.4544135209323187, 5.425991427568944, 46.002335622461494]"
49,20131.368595196327,20131.368595196327,"[0.2738166557840793, 0.7588081853863993, 0.7253307015545504, 0.1495428713213821, 0.22905144155874513, 9550.035671955147, 33.944375566151]"
