iteration,value,best_value,parameters
0,17313.357032736007,17313.357032736007,"[0.44708631627835416, 0.003512230842701358, 0.2544521200494334, 0.583434754069563, 0.13856033809023893, 1606.160573733878, 15.57293123916882]"
1,17332.356966368065,17332.356966368065,"[0.19531448279244057, 0.0692333337889326, 0.3548371731553144, 0.610687252561574, 0.42885225383545933, 7051.733143873223, 5.345720982414601]"
2,17346.35678354549,17346.35678354549,"[0.1931014220513826, 0.05862340384769127, 0.9167261904858182, 0.656629873600156, 0.34256489037920024, 6054.927059550722, 51.85424093601935]"
3,17355.356268852294,17355.356268852294,"[0.3724359912908486, 0.8108853319224011, 0.5391767017181931, 0.964076416222809, 0.5107693112808548, 6791.844450150667, 30.583603763359683]"
4,17378.356231840695,17378.356231840695,"[0.1677344105938724, 0.7114022072346903, 0.0444963314396053, 0.5666943582871099, 0.9703977664583923, 9856.584522321822, 43.05282192403542]"
5,17387.355856937083,17387.355856937083,"[0.1645224523924521, 0.1791894311057629, 0.5510539746572964, 0.23404304984697322, 0.4749384109306859, 9552.698747626648, 31.87085076083937]"
6,17405.35582686708,17405.35582686708,"[0.8414298672263087, 0.07295209248112788, 0.19404968070386153, 0.7932891667261629, 0.6115922062767107, 330.2877361625012, 18.534208354803354]"
7,17424.35607071272,17424.35607071272,"[0.5364863804253843, 0.5049544502853429, 0.700236734724178, 0.10147774293078138, 0.006389551377905978, 9550.92548004844, 26.427465413494073]"
8,17488.35615003768,17488.35615003768,"[0.0006666552672021098, 0.8007954412205902, 0.41500141577479344, 0.4593947803119812, 0.8902245430263487, 32.372448198555446, 8.910728859023006]"
9,17461.35616522887,17488.35615003768,"[0.35533283275651106, 0.7737763800825326, 0.45311382144967394, 0.26078721192299825, 0.008989822574811623, 10.533541243998856, 38.96722855168329]"
10,17484.356448124076,17488.35615003768,"[0.4209506332211457, 0.5792949767194899, 0.6015343287716066, 0.135236652738696, 0.6127572298629355, 9996.876561983605, 19.391266315029924]"
11,17501.3566520527,17501.3566520527,"[0.23116809405593142, 0.007871259047792512, 0.31124966085387507, 0.7332466944771491, 0.018363880886975048, 1724.029512023102, 23.39150745257434]"
12,17521.356616201363,17521.356616201363,"[0.32542684583324355, 0.9684380516808734, 0.7590081773518148, 0.3303753350651937, 0.6749964213895447, 9988.186856996874, 40.27880530531394]"
13,17531.35648387727,17531.35648387727,"[0.04026075613814606, 0.8633068459592319, 0.8041311796730714, 0.96390275308332, 0.8099292618913084, 6.050910085277916, 22.48572521833645]"
14,17549.356385337196,17549.356385337196,"[0.10381463299418903, 0.2959588876982717, 0.8659294897156067, 0.4199501774551898, 0.07811842361212451, 9995.91165544198, 17.70795271708284]"
15,17645.356309538398,17645.356309538398,"[0.7550618747567819, 0.9596820529348896, 0.9723467259094632, 0.3066976993195053, 0.45320222751056016, 20.28165170246843, 2.178836727259885]"
16,17589.356399125165,17645.356309538398,"[0.9739297772120723, 0.6493003746507685, 0.7243087198041319, 0.49460893920771254, 0.12742720057138002, 9995.327328156714, 7.004604700549962]"
17,17601.35643908683,17645.356309538398,"[0.22112582418199944, 0.6877832200362168, 0.0529020940085827, 0.09816608629864931, 0.7486440482092943, 24.805459463256298, 32.931809693353244]"
18,17634.357359947277,17645.356309538398,"[0.46113742728542495, 0.3130059129232643, 0.31658733588876997, 0.01599352837207424, 0.6542927122293214, 9998.670687147745, 59.875724487417486]"
19,17663.358169109033,17663.358169109033,"[0.5052501274996047, 0.5215063241975575, 0.1348203123779682, 0.10026959708470828, 0.6910981092826352, 7.390711464015931, 36.668269371577345]"
20,17687.358672726736,17687.358672726736,"[0.8253003020112321, 0.9291865042462294, 0.3416156865805816, 0.5399062808217215, 0.25706978279544745, 9999.41896785123, 14.164608592549495]"
21,17709.35869756289,17709.35869756289,"[0.5302353341141168, 0.39986473605935324, 0.9274413729054297, 0.8466836241334815, 0.20197141993108314, 0.5915668210965119, 32.020385787583606]"
22,17805.358633429707,17805.358633429707,"[0.712458304639089, 0.4799405921652088, 0.003340112444575105, 0.8460247771891413, 0.48776142160302727, 9996.00894473917, 5.322761381517161]"
23,17735.358876751394,17805.358633429707,"[0.7712822938454802, 0.9635439114112987, 0.6554663227117481, 0.43011754646896094, 0.9714383084291995, 5.380287229331815, 45.076308867519934]"
24,17759.35931982216,17805.358633429707,"[0.9347447684452506, 0.5544103013149341, 0.1458488926747018, 0.9052989605075673, 0.6625217090140096, 9994.468689704785, 10.853947527900552]"
25,17783.359279890792,17805.358633429707,"[0.2558378801823512, 0.5266650345564522, 0.883612493140767, 0.5540609992510689, 0.2024929678341706, 0.35697847842075525, 19.9115800873441]"
26,17795.35915262228,17805.358633429707,"[0.7737821705007432, 0.3536558322636866, 0.7498745240949682, 0.21511207593788517, 0.23942426768781044, 9985.815861841182, 53.64688930844296]"
27,17818.359066176403,17818.359066176403,"[0.17814996095150348, 0.25642471097604114, 0.17628575019291381, 0.3548754238751728, 0.9439923345120809, 0.20723211569428912, 56.02160632381327]"
28,17833.359243841154,17833.359243841154,"[0.8318838401061275, 0.5302095195248524, 0.5912141228252447, 0.5241063706585135, 0.21337732455447067, 9997.175583711854, 6.385568092176809]"
29,17855.359335709523,17855.359335709523,"[0.8731102292355758, 0.2933113325397889, 0.862136554856491, 0.5140701323143204, 0.7005464262328203, 3.397612259369298, 16.255896557297184]"
30,17871.359435790622,17871.359435790622,"[0.43956228383458595, 0.6412191360673904, 0.31087764062433865, 0.28472594827841524, 0.1311262605758562, 9988.463654302568, 36.61954405167103]"
