iteration,value,best_value,parameters
0,16382.353189136222,16382.353189136222,"[0.9369984689432289, 0.2095665353303685, 0.6921698431676993, 0.8658565749761947, 0.9289655249196807, 2399.38343207579, 20.19534492074991]"
1,16399.353163041014,16399.353163041014,"[0.807331184211816, 0.9512264846813626, 0.00459673911043923, 0.8002935447998982, 0.4937157276258748, 5201.014575182552, 39.28619874563442]"
2,16427.353102632096,16427.353102632096,"[0.018240291825609156, 0.7444759076765045, 0.2966040683876565, 0.9483722359249672, 0.6295297101134157, 2403.163767772496, 20.811904626468294]"
3,16443.352972702374,16443.352972702374,"[0.8614480613248974, 0.9899332275395861, 0.28823414333888076, 0.3152270104677639, 0.9303526964071415, 1059.749642294726, 27.863489866845356]"
4,16455.352660709046,16455.352660709046,"[0.06386306953225851, 0.06705146011684904, 0.009822587532750893, 0.8045494981673155, 0.5678174657696629, 9997.416834215208, 40.510036164535435]"
5,16467.352388858933,16467.352388858933,"[0.6187798159102461, 0.7157795451315285, 0.27124726370694074, 0.34609319947482553, 0.39967948505479567, 9957.251112603833, 58.039372501397295]"
6,16481.352202012404,16481.352202012404,"[0.517227340434726, 0.4869040067799466, 0.09987669649599351, 0.8793918617811395, 0.8641808552432768, 9987.462382715998, 5.1503161983363395]"
7,16493.351956053168,16493.351956053168,"[0.4113208124865346, 0.7397399141680817, 0.09319181186034697, 0.21049991592083772, 0.03758471966171861, 6.814837600632728, 29.821895415253955]"
8,16505.351791442754,16505.351791442754,"[0.3147285642308577, 0.6799010996018623, 0.20928050862077552, 0.584220988292657, 0.8442776746954735, 9993.819441144069, 40.40945346760209]"
9,16528.351930060933,16528.351930060933,"[0.9118185436146513, 0.08923028264457922, 0.32178273007278935, 0.44201880418109085, 0.228859107199325, 5.788739702131673, 24.416240213204322]"
10,16549.352016468816,16549.352016468816,"[0.9189095186019073, 0.9401743584062395, 0.4752501676959058, 0.6292310551416362, 0.11796153751030436, 9994.037980657677, 40.75668465612698]"
11,16568.351960763757,16568.351960763757,"[0.545258034433377, 0.21178197883365613, 0.7927535408818461, 0.2810782553646245, 0.48969098438621894, 0.5720018240407132, 43.37206916292516]"
12,16587.351957837964,16587.351957837964,"[0.04773772644020313, 0.7344639649624086, 0.34198516646961985, 0.7222940559539667, 0.7182144993849677, 9992.105252481575, 3.7161902315038797]"
13,16593.35221234285,16593.35221234285,"[0.5519395979421089, 0.15711706309432516, 0.5854788100910199, 0.9592564810655381, 0.9226532574752958, 3.37782203319259, 0.5397402032840337]"
14,16607.35228755952,16607.35228755952,"[0.9111524684255793, 0.7276534122473066, 0.9873080475504559, 0.08925591742426309, 0.19984486452994055, 9999.317061562886, 5.668974462177026]"
15,16630.352280416097,16630.352280416097,"[0.7802645682590095, 0.06502211482460962, 0.9620724544924084, 0.8114091826435622, 0.19069814105275684, 6297.217198686603, 3.2967533764327417]"
16,16636.352017002362,16636.352017002362,"[0.6990332681212019, 0.4899140070320459, 0.9147936070912324, 0.6898241845603921, 0.048692696160335, 11.339017362941295, 53.957369374375595]"
17,16661.352244898997,16661.352244898997,"[0.8517860451998845, 0.8668013875559534, 0.9019900410154607, 0.2886922045410065, 0.7284485620701905, 4998.284710930797, 44.80304540388153]"
18,16687.352017394,16687.352017394,"[0.38239947743280567, 0.04279107092389767, 0.07976381074005734, 0.4544133223676168, 0.09561354424908064, 9998.14536012665, 42.162706483852]"
19,16701.351753134128,16701.351753134128,"[0.3279023234650016, 0.24658552493776387, 0.6767257309212884, 0.5710706968118591, 0.09325868053651876, 0.2763932973626204, 28.887781047601916]"
20,16722.351943323036,16722.351943323036,"[0.9802372602056846, 0.8910521564936951, 0.5718523981574275, 0.3328418797487104, 0.15501567722545484, 9986.845285313457, 6.487914641760229]"
21,16821.351937523206,16821.351937523206,"[0.6778613708900175, 0.5830802933323331, 0.18533796812250936, 0.39308742199300517, 0.9532003376511682, 9869.493813816465, 1.7490713737225194]"
22,16761.35203343476,16821.351937523206,"[0.7715884803599063, 0.5159755425242757, 0.6851932175615516, 0.46903131737609693, 0.4675628744513508, 4990.641151988329, 51.57486692603614]"
23,16775.351960521144,16821.351937523206,"[0.012750491793695584, 0.4863947415121883, 0.30374804696139046, 0.9008446667368362, 0.10637285466457047, 6.2707228919289815, 27.469293402253797]"
24,16800.352227124913,16821.351937523206,"[0.3367847231871103, 0.9349853515242655, 0.8069621009078991, 0.8174011635871793, 0.16785460370762895, 19.192221890955707, 0.8639010894094001]"
25,16866.352730841954,16866.352730841954,"[0.5180913803242209, 0.47556909711087514, 0.22170137057462824, 0.7650449640372872, 0.7782918128184096, 9986.445292102311, 57.81161719856657]"
26,16841.353304688135,16866.352730841954,"[0.6761193321993543, 0.8911486003643191, 0.9960841460314881, 0.5547747095031549, 0.02111189232706223, 1.8300805804338793, 50.90193452989]"
27,16869.353696804017,16869.353696804017,"[0.5853109357402538, 0.9858949691117402, 0.9135860033405804, 0.8069712649359062, 0.07004130657955476, 9940.323459875242, 12.052912206723676]"
28,16879.35395293159,16879.35395293159,"[0.7109251582144973, 0.0806494394980729, 0.07057991780530648, 0.6523408925306716, 0.916907514174826, 16.423689105554693, 28.648310083085924]"
29,16899.354476949866,16899.354476949866,"[0.47768684279502793, 0.11624040345453801, 0.5845510950996567, 0.07630672860547028, 0.4537959960206879, 2584.1547501423424, 0.29410065503674643]"
30,16954.35498688764,16954.35498688764,"[0.18210346426558688, 0.024808975527065957, 0.6127276154819857, 0.21822744850119835, 0.22710904020858846, 9996.67677911266, 18.69568655869536]"
31,16976.355559185802,16976.355559185802,"[0.4611637832493759, 0.6987712798415683, 0.12867208250190199, 0.7548136414870784, 0.2736612177733423, 5519.692897171544, 8.544910533672692]"
32,16971.355684445072,16976.355559185802,"[0.22690514962412534, 0.7906761912137071, 0.23041190140200574, 0.5313840778926103, 0.32938746690271903, 0.014997151039919387, 20.75012985610319]"
33,16976.355403335576,16976.355559185802,"[0.9246689796687958, 0.8823551729289922, 0.07456427735635285, 0.06840748097351179, 0.5995387134954911, 9994.32053899459, 50.93452554884463]"
34,17028.355328028065,17028.355328028065,"[0.06129553438488822, 0.7639999470237876, 0.4682816195299988, 0.3467580723717316, 0.9418806657444815, 9996.19462433324, 11.313792485380592]"
35,17004.35511558826,17028.355328028065,"[0.5633139434360807, 0.34108404366869016, 0.4190929961609281, 0.5059952160613075, 0.11669148485885483, 16.32921277836541, 30.919032044679835]"
