iteration,value,best_value,parameters
36,17016.355096035266,17028.355328028065,"[0.9743605403684054, 0.33813254519402347, 0.5180921312888952, 0.7560023411425182, 0.7428471665581923, 3.3636286700544638, 0.44740895634149513]"
37,17039.355434793983,17039.355434793983,"[0.4006496140004714, 0.6330210579728578, 0.5976948582134393, 0.30258371516058924, 0.19334207302593331, 9999.807449176738, 15.258908069712929]"
38,17055.355704657595,17055.355704657595,"[0.8371979990345388, 0.2822994456884158, 0.9010978116616574, 0.7595959711277602, 0.6641236474099913, 2.0055707438038084, 34.5212478377185]"
39,17087.356172284144,17087.356172284144,"[0.23194443497551787, 0.24386058203616778, 0.7952578027353678, 0.5699003888044653, 0.43012809685786824, 9999.272102650066, 34.93895024195327]"
40,17110.356237759283,17110.356237759283,"[0.1408764610973431, 0.9803683002019966, 0.48150239964359787, 0.9325554699584212, 0.42772058914486044, 9421.62235330916, 51.90648577197086]"
41,17123.356125651517,17123.356125651517,"[0.9798961088863584, 0.11613116266502943, 0.4185621302942546, 0.9772318058857525, 0.9942721839194119, 0.7766619536486719, 39.516512281808254]"
42,17144.356253760958,17144.356253760958,"[0.12279485723371475, 0.3012269484008018, 0.49500976180203615, 0.8678411349059457, 0.13866582488709445, 9997.88069903371, 19.227564373019128]"
43,17161.35638943131,17161.35638943131,"[0.5413528998701872, 0.7632678025832758, 0.4729477623565769, 0.225671597816263, 0.8548863123136801, 3.47378474332527, 24.922205609263276]"
44,17184.356667654254,17184.356667654254,"[0.41713684445675314, 0.15569097258740727, 0.8497593273753715, 0.11901331478765242, 0.7265292088287693, 9996.788255708485, 51.437412435767605]"
45,17223.356960718767,17223.356960718767,"[0.6406106689332073, 0.5143461232624419, 0.12140864307324739, 0.02837580756043001, 0.3526526606985122, 7.348078519009427, 16.929235489656588]"
46,17244.357291753226,17244.357291753226,"[0.4816146670518796, 0.5658519082360763, 0.01852497085678151, 0.545615133653458, 0.6914576454241155, 9991.153084270716, 39.69647204508787]"
47,17263.357249498495,17263.357249498495,"[0.2929845380265439, 0.8927637471832072, 0.9183375672013971, 0.01343733365482791, 0.242928770187533, 5.5831591227673005, 41.5069038034158]"
48,17315.356974480088,17315.356974480088,"[0.024077020079161904, 0.7617780911690505, 0.6775314449193317, 0.07162134047108304, 0.6842556965660257, 9991.545243825043, 10.927058661300226]"
49,17298.356947740198,17315.356974480088,"[0.0218345968049668, 0.6735170817913462, 0.5565516089949127, 0.09764104112171668, 0.8711071472578406, 1.5419708378516805, 27.57080770794382]"
