iteration,value,best_value,parameters
0,21972.371752368963,21972.371752368963,"[0.05523340432057111, 0.3717094223443994, 0.6602036213511928, 0.8477686249723146, 0.5807917624087726, 8919.975035190026, 38.88424818379911]"
1,21996.37147847366,21996.37147847366,"[0.7474117994199977, 0.7820848184403977, 0.4612159360140672, 0.9956673522300867, 0.1689928996712804, 8914.897343617084, 38.046032572254774]"
2,22016.371230412322,22016.371230412322,"[0.020952722511410782, 0.06655635105660629, 0.07146446382305394, 0.5108164053636916, 0.66857771545538, 4376.99789418733, 26.471059036869995]"
3,22034.37129955048,22034.37129955048,"[0.4401334005982217, 0.17463736372717809, 0.7840450152401567, 0.21092381816582007, 0.4204560824620277, 16.91787923920107, 20.854771788522058]"
4,22055.37123224132,22055.37123224132,"[0.3065107365979919, 0.09193591173389037, 0.6002721064277856, 0.6827552978657209, 0.03737282811359166, 9999.806151822646, 43.94039757102716]"
5,22072.371380865487,22072.371380865487,"[0.5936171127417246, 0.7992857236999744, 0.3235947272535805, 0.964204194799777, 0.8616489411178162, 15.910971337937951, 32.95603676992683]"
6,22097.371793192713,22097.371793192713,"[0.5204842009065695, 0.11189582343686866, 0.14589301542534927, 0.209886434999078, 0.4161693703352969, 9997.604035357654, 42.675641075768944]"
7,22119.371841441523,22119.371841441523,"[0.3688819726061847, 0.13527738716187276, 0.8582512028616891, 0.26749420713703964, 0.9405156747958624, 22.542438910089224, 12.22279356873226]"
8,22125.37167496923,22125.37167496923,"[0.9593842872406394, 0.6858860461740554, 0.1222853167444653, 0.29378698974409057, 0.9149929152406395, 9996.178532689111, 35.56735726982448]"
9,22149.37145074624,22149.37145074624,"[0.4151990360332831, 0.12731863401154464, 0.5134737755929232, 0.9926657450202416, 0.12235225019620388, 5495.256046473336, 27.20483086421767]"
10,22172.371360270765,22172.371360270765,"[0.6118212969449331, 0.6901178123391599, 0.2712727795383426, 0.6178200655931447, 0.87939049431436, 13.207211195053192, 34.057047237068986]"
11,22200.37152380931,22200.37152380931,"[0.7819473275440931, 0.7991914123718715, 0.18786905553649347, 0.03303194121416386, 0.7373795443866044, 9986.668725974756, 46.03782088031493]"
12,22223.371602003976,22223.371602003976,"[0.5585994778593393, 0.1631616282052165, 0.06199903727321798, 0.5921765536832002, 0.08819514198422607, 22.40997593235816, 6.081839004972593]"
13,22247.37183338115,22247.37183338115,"[0.3753170359314959, 0.16002956578518257, 0.4936588464638326, 0.6912746308157847, 0.6348283405538856, 9982.188636776173, 13.319823281582506]"
14,22258.371965947594,22258.371965947594,"[0.4446349910063707, 0.19244300464699715, 0.3972938334382995, 0.778164100796073, 0.90202156270994, 3.3621613586309884, 54.67484379905594]"
15,22285.37199935797,22285.37199935797,"[0.007341807803916689, 0.9795122676216792, 0.7081375743922106, 0.8749049520693954, 0.2855958692142819, 9997.960186455162, 30.988385641432707]"
16,22310.37202017501,22310.37202017501,"[0.9926412009556344, 0.47101433701465767, 0.18640370374368276, 0.8750088977484377, 0.7926990623846264, 15.545056734262985, 19.049705178948788]"
17,22331.372235635914,22331.372235635914,"[0.3311135267207712, 0.04250676567317502, 0.2287599600806942, 0.3806127568210488, 0.08762081751321227, 9992.606503194187, 50.87618951695968]"
18,22357.37245019432,22357.37245019432,"[0.5671967517365757, 0.5553088762268548, 0.4613694474286556, 0.37586698432133825, 0.17727064764956235, 2.5246388285971033, 53.04095263838104]"
19,22388.372448506274,22388.372448506274,"[0.9174389991868631, 0.8948272987511394, 0.4698643076993053, 0.042527307394548575, 0.3727801961434569, 9968.353032577264, 14.333817186429185]"
20,22405.372453865828,22405.372453865828,"[0.04638939318086588, 0.3358034364557141, 0.1692536656328678, 0.13913429250020581, 0.052687821178595384, 0.4558495581319377, 32.96578695341411]"
21,22422.372555591228,22422.372555591228,"[0.761708787024639, 0.3205056832209916, 0.5192922139055376, 0.7894464968456567, 0.4694170293139258, 9983.822015729156, 53.018433224624665]"
22,22451.372728381168,22451.372728381168,"[0.48320321187448645, 0.8291626208558034, 0.26795315547009013, 0.11350544397255768, 0.010727278332098411, 0.04168767792966932, 17.14252718466564]"
23,22468.37272045836,22468.37272045836,"[0.9472699278490513, 0.41477916115457214, 0.6795448278551947, 0.5628798705804962, 0.18934236531801718, 9993.231104825241, 24.003107125612175]"
24,22511.372714188452,22511.372714188452,"[0.539510831803083, 0.4830928896563942, 0.9681000299058785, 0.8690440279177282, 0.6054501634120751, 2.7944783164102205, 5.7785721736278735]"
25,22498.37266723547,22511.372714188452,"[0.314865267042305, 0.7418944157992746, 0.1283770540528737, 0.745010335498046, 0.5842915788180052, 9999.828409982085, 14.46508049520971]"
26,22511.372495338044,22511.372714188452,"[0.3029715478129589, 0.26153924521507144, 0.04002161538647708, 0.21688119583165977, 0.7241283802853389, 5301.312054660996, 47.4242327166209]"
27,22552.37223349721,22552.37223349721,"[0.4769486823227631, 0.6382061913804037, 0.6795674648880587, 0.8190062746758693, 0.4535554922654267, 2.8223210039524105, 22.74327978006143]"
28,22542.372016645764,22552.37223349721,"[0.756744838746293, 0.17845146710203663, 0.585074578083516, 0.6723542967978221, 0.8291397345774412, 9986.545559416752, 24.37315552888301]"
