iteration,value,best_value,parameters
0,15518.34897614498,15518.34897614498,"[0.4331048030610585, 0.30740872546893827, 0.3324822022718461, 0.9336815479820203, 0.5413524227981322, 9793.314457365776, 44.62117668838641]"
1,15555.34932455692,15555.34932455692,"[0.3563614481082529, 0.9195222566726965, 0.984217889246542, 0.9819577218704026, 0.15500434089300918, 5278.398255383273, 33.07346246041349]"
2,15565.348910018216,15565.348910018216,"[0.9507181867608832, 0.41618210930339583, 0.9635756631964478, 0.8803812647600906, 0.06441827843411985, 3908.1953542111123, 21.1201249197845]"
3,15581.34857417233,15581.34857417233,"[0.5060241024623423, 0.44786591068566795, 0.4789623694312839, 0.052850465850842854, 0.4081333554717065, 7913.539973543237, 28.231683283576874]"
4,15598.348469253928,15598.348469253928,"[0.9924908823637874, 0.6048859168374868, 0.33589838415628104, 0.9012327057592262, 0.6563583562271931, 7916.770888305616, 29.376426549115823]"
5,15647.348428155316,15647.348428155316,"[0.5902542437046151, 0.3132810389624643, 0.3173612427187483, 0.3061803914307355, 0.0697297971077443, 8764.2204761568, 8.373594467594295]"
6,15629.347996371018,15647.348428155316,"[0.007436639649612498, 0.8389885045201246, 0.06729927022656845, 0.18276726085740935, 0.19643844459572102, 2238.4290102363925, 55.441570338208415]"
7,15642.347792561935,15647.348428155316,"[0.6829763798413044, 0.42308791351997854, 0.22741196889045057, 0.5074542696110449, 0.3620094285593386, 11.944707822427736, 40.24048844691781]"
8,15670.348205238754,15670.348205238754,"[0.09201642875442695, 0.43131532903852643, 0.9812628967919108, 0.7658499539548935, 0.3439792948182582, 5.960431929206145, 29.317713822497588]"
9,15686.348416114222,15686.348416114222,"[0.09940015073920638, 0.6585858226126738, 0.6030276670890686, 0.22809085658364725, 0.4197972113295191, 9984.3120969186, 35.882605191246995]"
10,15709.348957283199,15709.348957283199,"[0.7991977620525874, 0.7211294038805782, 0.853980822058904, 0.22710388851618524, 0.08872541917652321, 0.6608736695523643, 42.5412860240461]"
11,15736.349891591095,15736.349891591095,"[0.26404951428142354, 0.5991344467866916, 0.3155295824819051, 0.34420077508186564, 0.6579378187425897, 9992.670961544036, 57.550548052174804]"
12,15750.349914396314,15750.349914396314,"[0.7283734723874749, 0.9557563056564987, 0.6894968472007849, 0.6659018987070643, 0.9439704005010818, 26.71454683585539, 49.8916312924301]"
13,15780.349933819307,15780.349933819307,"[0.5957042812632073, 0.77008017560505, 0.4384483545223127, 0.868391998207613, 0.8026607423595364, 9992.758571190627, 7.652262445617168]"
14,15782.350086460754,15782.350086460754,"[0.8369931607447783, 0.17221899481282688, 0.17563902841432255, 0.08646967289833996, 0.3282018750789134, 21.05499472325412, 45.964279219356015]"
15,15898.350045170966,15898.350045170966,"[0.5038074498157077, 0.6328427307030793, 0.9154241356427066, 0.018972577432453064, 0.20470967801248208, 9998.821553661584, 1.7178702596713369]"
16,15802.34998321623,15898.350045170966,"[0.3049456452211722, 0.16866400113065305, 0.44340071198809294, 0.3724268390277272, 0.8368150480026469, 3780.516856024303, 58.510353298610674]"
17,15824.35003448888,15898.350045170966,"[0.2926511305793664, 0.8246488441610436, 0.8139893779267064, 0.49671139957939614, 0.5754625426692516, 4584.497804833464, 5.717825940555146]"
18,15832.349709666294,15898.350045170966,"[0.11111703219418978, 0.7989389414581933, 0.8096877475020707, 0.9941028666368188, 0.605980214458248, 9993.287395076233, 54.581175844325145]"
19,15844.34934972782,15898.350045170966,"[0.821056810878016, 0.45983681257212183, 0.7973786131304564, 0.7788643286667943, 0.18946630297593714, 5.230830006127674, 24.984354306641418]"
20,15940.349341936611,15940.349341936611,"[0.8107122393793237, 0.047441872407897545, 0.9915963513411292, 0.20965579816308177, 0.5639491060186387, 9999.328922243385, 1.5703710001475835]"
21,15866.34917874988,15940.349341936611,"[0.1858400522967908, 0.12185126907326482, 0.7108487483015385, 0.43768785158556556, 0.10306212104058499, 3.261130595783035, 40.54616486150316]"
22,15894.349197964448,15940.349341936611,"[0.9623631773065983, 0.7531848382403793, 0.7288658164944329, 0.3590335860964784, 0.38259384689419684, 9966.915805346722, 4.1433733802657695]"
23,15901.349374576128,15940.349341936611,"[0.8797729245368816, 0.03800523617711549, 0.6431046724282095, 0.7362079854638272, 0.13414979640702573, 13.629228854084019, 34.43037188001897]"
24,15927.34968592667,15940.349341936611,"[0.35771606021165936, 0.39249459038265866, 0.6492828502045203, 0.2388741157010953, 0.03041900528478869, 9997.632708893938, 3.7217253973701814]"
25,15940.35005708297,15940.35005708297,"[0.4949410640687828, 0.18090592997687194, 0.38901446186582445, 0.3095404697798647, 0.6543573333029048, 11.227447460024909, 9.792371948348528]"
26,15957.350035054526,15957.350035054526,"[0.9763748142748052, 0.5596634822587068, 0.8925399252100884, 0.8270323635944976, 0.10039710578014649, 9982.400762609523, 53.306537716948505]"
27,15976.349927302277,15976.349927302277,"[0.16935296275141054, 0.6365774962141456, 0.4678533833399585, 0.36081236119629767, 0.9056075288576416, 1.9850043732982936, 52.98155865719767]"
28,15993.34971672096,15993.34971672096,"[0.5764458943595339, 0.6105399184947679, 0.42606836629148703, 0.4903391931380813, 0.09702288921986413, 9990.413077674366, 43.23088194598371]"
29,16008.349863351448,16008.349863351448,"[0.19530095601162256, 0.4477643098790127, 0.1550079907591394, 0.4674967997718771, 0.9855946717188884, 2.7255054204811113, 32.31171533789056]"
30,16030.349984092816,16030.349984092816,"[0.03726795117134096, 0.30997854073420805, 0.4915643338987181, 0.16273134954567137, 0.34889984526042717, 9975.346469321672, 8.575661479871053]"
31,16060.350330055504,16060.350330055504,"[0.2892507901318233, 0.2657627595957117, 0.7658594574204858, 0.3094964941470041, 0.3144199875735678, 11.797337688814746, 3.9066727650708954]"
32,16073.350577250449,16073.350577250449,"[0.5598686779730814, 0.04986604611959766, 0.8193210551235605, 0.5853826591282536, 0.2734464086101003, 9998.787000403372, 58.85248294158107]"
33,16087.35066135035,16087.35066135035,"[0.9985996282410011, 0.8536550497080962, 0.9790763784351311, 0.03850126890561878, 0.9686498558448299, 4.293890942345113, 13.596607300477627]"
34,16104.351204519102,16104.351204519102,"[0.07061013459568677, 0.7999600205931963, 0.03574192829333367, 0.48494615367763094, 0.7032929414412963, 9987.462321235585, 23.449443837896077]"
35,16121.351145707571,16121.351145707571,"[0.3161095634847585, 0.34525372515539576, 0.4682891291090102, 0.8234903126448543, 0.4350786451144958, 1.221949732056471, 9.037653549525494]"
36,16136.351309728752,16136.351309728752,"[0.5932170173841248, 0.06871379175601033, 0.29981541864706607, 0.49499856224602456, 0.6464364008514248, 9997.491320134293, 34.1054812413409]"
37,16172.35175879936,16172.35175879936,"[0.1252983059874594, 0.5844878751994353, 0.7331827714525134, 0.055527278072817654, 0.3682876296467633, 13.221645849387231, 44.959951757114496]"
38,16189.351803964437,16189.351803964437,"[0.24820871059111516, 0.20328928205888663, 0.15579350509395606, 0.27004657160934675, 0.8663150496158897, 5596.5037532273045, 26.198982337089717]"
39,16210.351843463957,16210.351843463957,"[0.91311222128204, 0.4829257803482375, 0.7126814654203679, 0.07263190697568545, 0.5175159230841626, 9994.555353450367, 2.093900120059411]"
40,16215.35171067677,16215.35171067677,"[0.060462315102803976, 0.1682715029477755, 0.7878990593711762, 0.9180498525807486, 0.9133295167092101, 4.021950640561434, 39.85516413713059]"
41,16234.35164980046,16234.35164980046,"[0.13241677717162037, 0.7918049195978427, 0.9572747396307671, 0.17857765926976166, 0.7043321514480586, 9988.300113630663, 8.340451668079712]"
42,16279.351808939993,16279.351808939993,"[0.3167256883394445, 0.2904229610460748, 0.11312061997868217, 0.8252423596150719, 0.9524293929069155, 7.22528262389166, 20.79539772727036]"
43,16252.351959980244,16279.351808939993,"[0.4035666473436117, 0.0424116464335802, 0.013491625764318949, 0.47262912640971677, 0.6404623228716946, 9981.57662778915, 7.871287890972647]"
44,16276.352254187454,16279.351808939993,"[0.11371536238544744, 0.2052302988789355, 0.553186725288416, 0.9222675996915429, 0.08941498878879262, 5.155424894851546, 10.310575504887762]"
45,16280.352502192332,16280.352502192332,"[0.02468300722016903, 0.9716056451409413, 0.3312019511856604, 0.6211689195004044, 0.38717043215902736, 9980.815486428977, 38.11357316297832]"
46,16304.352648392065,16304.352648392065,"[0.7605512565609065, 0.08282600582003485, 0.6547176699113209, 0.4179199377733753, 0.6687749099604101, 11.257718005942552, 5.675203187119584]"
47,16315.352853424985,16315.352853424985,"[0.23246400996070693, 0.36020122537356647, 0.014395522575164521, 0.8671432598988077, 0.905164511387714, 9998.412942782772, 50.731415190267164]"
48,16335.352970358368,16335.352970358368,"[0.5967258226022907, 0.6857012154124634, 0.11753766894878659, 0.6897792829347731, 0.3867281433332702, 4.759938317175916, 43.52925792616698]"
49,16361.353220165569,16361.353220165569,"[0.5686062033950313, 0.5113865304479586, 0.15397544784717976, 0.36444558209320943, 0.10683142858259076, 9995.885522227805, 28.62179526051641]"
