iteration,value,best_value,parameters
0,13997.347587355745,13997.347587355745,"[0.3189635020387772, 0.8999135530197505, 0.5999052060482108, 0.9748481708313114, 0.8241893644564712, 3564.1388709940934, 15.246627997318773]"
1,14010.347325152674,14010.347325152674,"[0.3861569359959387, 0.43102077661370286, 0.08621295528875317, 0.22092349679060475, 0.09773116795327741, 3567.5402834602087, 9.604345197619324]"
2,14041.347121655039,14041.347121655039,"[0.6773075849768458, 0.9073414929830963, 0.39353844427787354, 0.11766515921960619, 0.5442815537670727, 1801.4323416160005, 2.1477199126636526]"
3,14025.34672701052,14041.347121655039,"[0.8022821543627855, 0.3232829645621088, 0.6129174619178233, 0.09026639793266189, 0.7229539220571437, 9995.86957704483, 27.025205864836867]"
4,14047.346220015575,14047.346220015575,"[0.8352650982809424, 0.7486971007473936, 0.8174561406445894, 0.009689021236200857, 0.593087822097373, 9998.318669925595, 51.01224967565422]"
5,14050.345745516875,14050.345745516875,"[0.3681550116838861, 0.5753173452871312, 0.58616286545008, 0.9647254530352956, 0.25973214685028945, 9997.458173844223, 34.00426875506704]"
6,14074.34548558688,14074.34548558688,"[0.7453326658436364, 0.10875130698688396, 0.7298772726999325, 0.2496442165082402, 0.5648646384406976, 13.072540527209187, 52.56582603947594]"
7,14086.345506058371,14086.345506058371,"[0.777106603615913, 0.2959170417664787, 0.6685939300290888, 0.5764958519558842, 0.1813102681241331, 9979.277139729013, 24.585813991597842]"
8,14103.345421952336,14103.345421952336,"[0.23987274903458766, 0.46163792976863094, 0.8820137620477063, 0.520085088207933, 0.4614881143468321, 10.661284077220223, 28.612998735626306]"
9,14123.345395150762,14123.345395150762,"[0.17195960507748476, 0.48319141231595186, 0.03920004099957097, 0.14025922100424626, 0.031748782493211225, 9971.016938357958, 5.936567441853224]"
10,14127.345523233002,14127.345523233002,"[0.0877419811447736, 0.8696345555776662, 0.9766758028479201, 0.900220531220497, 0.5888726103365258, 16.275404067911392, 38.44149862268248]"
11,14143.345454848191,14143.345454848191,"[0.104748640926703, 0.6353570577688222, 0.9347626662082176, 0.23613376210848314, 0.6200776062832868, 9976.430561180889, 20.940649678603666]"
12,14143.345551487071,14143.345551487071,"[0.946871745784069, 0.15416836091845476, 0.36706089576769807, 0.5038414652565455, 0.7905918533872902, 1.2072207345870112, 28.451145217801127]"
13,14157.345961016683,14157.345961016683,"[0.5390788207396283, 0.25728239012539567, 0.5900306220153698, 0.3621897820983806, 0.09679835463373343, 9981.514833372921, 36.07614572343982]"
14,14171.345888805077,14171.345888805077,"[0.01825227193279555, 0.08127635610453032, 0.13984664337429564, 0.7156839630682831, 0.43091318513024934, 2.3731678401184286, 22.76638761681294]"
