iteration,value,best_value,parameters
15,14187.345640829039,14187.345640829039,"[0.38814836223748295, 0.9928773550347983, 0.1616486655874667, 0.8544909740826936, 0.8590415690532116, 2903.1829724976164, 38.18816795010057]"
16,14195.345489052334,14195.345489052334,"[0.3045145101982425, 0.246525064503878, 0.7931850851780887, 0.2513535598379787, 0.7672756773904491, 9992.2963330578, 26.507416526297153]"
17,14203.345590983012,14203.345590983012,"[0.10733101421662239, 0.6562465400792481, 0.00378402492672103, 0.07955074750154145, 0.4414047165946613, 12.180893271437343, 22.96561235823463]"
18,14213.345984614623,14213.345984614623,"[0.27633137740508684, 0.49306663172503074, 0.008026543544319864, 0.7870313386514167, 0.7393330780374555, 9994.653691174137, 33.56921442223062]"
19,14228.346766321945,14228.346766321945,"[0.16156410761430384, 0.059630754637804206, 0.527017811705192, 0.6626029888965114, 0.6501199046238825, 14.426685778893278, 54.94124278229286]"
20,14240.346951025878,14240.346951025878,"[0.9067076038452909, 0.8528090221122838, 0.48737175810029476, 0.04608816255649584, 0.8687421503028233, 9987.92588184348, 11.195317793865495]"
21,14268.347477734096,14268.347477734096,"[0.20709916923576321, 0.6880313284975462, 0.2448186602043918, 0.02236119695192662, 0.44895553395908405, 3.859316519543299, 16.329598657658746]"
22,14274.347965484392,14274.347965484392,"[0.6737221239147169, 0.498931301043923, 0.516955952732212, 0.6991924784349136, 0.33038879568763957, 1515.5551432831771, 23.865387381751226]"
23,14297.348552431878,14297.348552431878,"[0.0028044354058144316, 0.592903930084812, 0.8916428393804817, 0.46800736216408745, 0.4545963693989572, 9998.138452301491, 12.97483817085228]"
24,14317.348584071084,14317.348584071084,"[0.06800313733245233, 0.5047054693264807, 0.5408497730299624, 0.3970357213497401, 0.12119789534380376, 9996.258428852188, 28.22543146901574]"
25,14323.348314852925,14323.348314852925,"[0.6946311126459358, 0.7428434524692868, 0.1610435346434651, 0.8257318542701795, 0.35065005330960264, 9485.819841046872, 37.25267275175027]"
26,14339.348078375067,14339.348078375067,"[0.6344490805777406, 0.3470974869451896, 0.4800803686323609, 0.5352814278067617, 0.524973412946959, 1.7441372118709442, 9.285111298810683]"
27,14343.348031512221,14343.348031512221,"[0.9002829087479766, 0.9068150721867128, 0.20157334973094554, 0.4763694536028751, 0.8623504397368704, 7.442605619477627, 16.229214683287505]"
28,14343.34813619048,14343.34813619048,"[0.7421289188919734, 0.7212831298149918, 0.8283882941658686, 0.6926510334008809, 0.6794716005941351, 9997.742584230675, 31.360266748532478]"
29,14368.34827712594,14368.34827712594,"[0.9954318633611946, 0.9004225551669195, 0.3324762153467401, 0.61631813166494, 0.3310274084765177, 738.9013909853826, 53.31267623501883]"
30,14465.348331112533,14465.348331112533,"[0.7502465349358834, 0.11428708400488852, 0.5337129629401548, 0.18732500342503489, 0.7297992730074143, 9982.904411766584, 2.8898005134588023]"
31,14393.3482716211,14465.348331112533,"[0.005468452635442378, 0.1613443864114288, 0.9863188848249477, 0.18623233632644065, 0.11806128260123105, 17.177098034379945, 58.82611304175341]"
32,14508.348277744142,14508.348277744142,"[0.29253337804532853, 0.5405992070810578, 0.9430989977167517, 0.05577215456934548, 0.7975627248864416, 9998.612848908251, 2.0389586515997915]"
33,14414.34817256212,14508.348277744142,"[0.39800975556747387, 0.028009586325108304, 0.355262180113334, 0.4543537191715943, 0.8836543580126082, 36.65519942800288, 42.76995676272524]"
34,14543.348235435236,14543.348235435236,"[0.9893492340475334, 0.0180922446852807, 0.5075990184791177, 0.4746244401467753, 0.7668350617541795, 9996.132749167748, 1.1963609876871373]"
35,14437.348077397437,14543.348235435236,"[0.6098647055819973, 0.06634667063867483, 0.1357397292508682, 0.573974359500416, 0.026728719406531543, 1882.376863359748, 5.215971135627926]"
36,14440.347945167261,14543.348235435236,"[0.551905671166071, 0.7685526791069583, 0.2570464234320762, 0.5044084088198638, 0.3975561505435613, 1.9352071102651802, 35.171398323452735]"
37,14456.348035137251,14543.348235435236,"[0.13832538012447604, 0.22549041503844158, 0.34946025246525214, 0.2951135486537749, 0.9343855832632247, 9070.564860466171, 41.27531974987421]"
38,14469.34823528657,14543.348235435236,"[0.8231670062483841, 0.14590218363575813, 0.32709843138606043, 0.5337112949439897, 0.5154210937138368, 9987.387888458996, 29.822501436356077]"
39,14488.348171140233,14543.348235435236,"[0.9317297680772832, 0.966526126654632, 0.4726693675296991, 0.6386077463432887, 0.7167435810959639, 1.357965941241046, 19.397114825726185]"
40,14494.348298059855,14543.348235435236,"[0.5359911383281302, 0.9218819304061249, 0.22692029800088742, 0.6208373377701429, 0.29801820436115867, 9998.82118948766, 53.90144018879818]"
41,14516.348563474065,14543.348235435236,"[0.7371773311025344, 0.16182757635395206, 0.15113481489157843, 0.5948581183246273, 0.389480176706704, 6.551857699383934, 44.53071135578164]"
42,14526.348574535865,14543.348235435236,"[0.40328506334211134, 0.3369678804588401, 0.6722409388509729, 0.8193521170401077, 0.6094955629715514, 9992.822307264996, 25.52982721127563]"
43,14679.348650994763,14679.348650994763,"[0.5554883655299031, 0.7201316623731127, 0.9900167618246721, 0.37499725852315335, 0.13963428082459017, 2.0415746176116745, 1.1692414602890278]"
44,14545.348748621993,14679.348650994763,"[0.7619745401466687, 0.3421305661829147, 0.1689595636909853, 0.8550160314293995, 0.783824067002288, 3669.8677845267925, 16.131743982175042]"
45,14570.348674309413,14679.348650994763,"[0.20165288788316915, 0.056875991134814674, 0.8363995204846365, 0.7871029654984822, 0.2550351454974906, 9982.94556736602, 18.123641174409762]"
46,14584.348551218467,14679.348650994763,"[0.25306913430783906, 0.1303856130778095, 0.2360244158317103, 0.21948225298907875, 0.11067992516628067, 3.143561611546053, 36.13977914903498]"
47,14609.348504243788,14679.348650994763,"[0.5866348130762239, 0.5799380627554493, 0.4705209668742598, 0.3641756968265878, 0.444501387309275, 9980.351968553017, 6.7225110663249925]"
48,14604.348301044416,14679.348650994763,"[0.2532136130255819, 0.18643375203043877, 0.9812434637759561, 0.3301082499964628, 0.9760418619702517, 2.6548829470207647, 11.19379338805614]"
49,14614.348605630465,14679.348650994763,"[0.7773083328535261, 0.1577032904110074, 0.18482565838382448, 0.7253850067403642, 0.7703973919509788, 9987.354501499489, 23.903537751996804]"
