iteration,value,best_value,parameters
35,20760.369686187776,20760.369686187776,"[0.404637665800445, 0.7930265176585243, 0.8892258002188707, 0.5293147687097952, 0.3688637558938377, 0.7682573201517329, 34.92874726599202]"
36,20776.36982036859,20776.36982036859,"[0.5412431226631989, 0.40552720529276565, 0.0896104091340667, 0.4416147919343161, 0.9514457154679582, 9999.140359404137, 12.901003915083315]"
37,20797.36977643733,20797.36977643733,"[0.4184041211998544, 0.9535532960706155, 0.677534993022917, 0.6865292871858164, 0.6008518054880145, 32.44569416979037, 23.939240084225617]"
38,20813.36974135184,20813.36974135184,"[0.07567222672211138, 0.0006365330679547476, 0.3563639886970985, 0.018498779992614955, 0.28219697278911804, 9990.052481957757, 33.46053486239851]"
39,20834.369610846876,20834.369610846876,"[0.6614226080233121, 0.1573928983502907, 0.5784720835311828, 0.428000420381893, 0.22015076957536406, 0.8804750025526165, 18.789712625386038]"
40,20865.369669774132,20865.369669774132,"[0.8739604358860763, 0.8440018724569306, 0.6201701763842818, 0.6887515469872673, 0.913669737198674, 1262.9209772479321, 10.134835097194532]"
41,20902.369673463545,20902.369673463545,"[0.5629554032200568, 0.1022776778453921, 0.6985579062405911, 0.25976925922756344, 0.41715084224595544, 9998.848342988245, 4.847792140872642]"
42,20877.369443555093,20902.369673463545,"[0.23434026913335115, 0.916240513860919, 0.9937279619400512, 0.07887199753742136, 0.3825763469856598, 9952.256985416434, 34.15333331915951]"
43,20900.369374254977,20902.369673463545,"[0.9389461085058507, 0.11562678401111148, 0.8778338460114606, 0.9074927019472168, 0.6157355905944357, 55.74346431993171, 33.645656587363256]"
44,20922.36941475305,20922.36941475305,"[0.09471539502719861, 0.8127911007813858, 0.8970643475470405, 0.450347029155296, 0.4924963979647514, 9992.262299268203, 49.132046146487255]"
45,20953.36955097199,20953.36955097199,"[0.3345105174969589, 0.9066707989813511, 0.844020967893383, 0.11503297194993856, 0.9698001862646481, 1795.4374884460344, 48.91276710108604]"
46,20962.3692665165,20962.3692665165,"[0.54968066531787, 0.7001791477623969, 0.9995810929063715, 0.9824718968265266, 0.45864131716280354, 1.5417438333609201, 39.728832252191175]"
47,20992.36915727871,20992.36915727871,"[0.30877151941238035, 0.2450886475602464, 0.6965820688490605, 0.9027721835850707, 0.37945147147235303, 9997.519664792897, 54.20044062814107]"
48,21080.36910391835,21080.36910391835,"[0.18810819283327984, 0.5986631548600942, 0.22947099023912287, 0.45035805197049283, 0.32213599777031066, 1.8856170349002, 5.461044187160875]"
49,21028.368914297083,21080.36910391835,"[0.9479078212416822, 0.2957904153401246, 0.5611797008491464, 0.21814612957379687, 0.2586230795183646, 701.1227514049612, 0.028350447904412768]"
