iteration,value,best_value,parameters
0,20157.36841243133,20157.36841243133,"[0.2032714871761243, 0.29683474874281734, 0.5208928079660857, 0.8790771446112546, 0.473275387999463, 8202.72076298391, 8.654038715794762]"
1,20158.368126806046,20158.368126806046,"[0.4118516935378844, 0.12027012715693197, 0.715800042453792, 0.9958607463938378, 0.015646915782167703, 6983.360536609804, 43.77536818514596]"
2,20172.36774957108,20172.36774957108,"[0.33704895748894537, 0.7856474562627631, 0.4217400063825447, 0.19578532758972955, 0.8808249724154917, 2506.849573846606, 45.401085668674995]"
3,20199.367519694686,20199.367519694686,"[0.7888647556020516, 0.43246939970559817, 0.4830553289458528, 0.9050398115454384, 0.20571222426697344, 5945.058480918873, 5.1910140521169446]"
4,20194.36702906301,20199.367519694686,"[0.7416916728784689, 0.6968867372420222, 0.5514757701071801, 0.5005673516513807, 0.21726186065657704, 2504.5206884697204, 50.20864086173981]"
5,20303.366955137535,20303.366955137535,"[0.5006749391504626, 0.7693196673416726, 0.953675786239328, 0.7497111455637893, 0.4789940080329803, 9994.203757356625, 1.1188049583415127]"
6,20213.366733370058,20303.366955137535,"[0.3302721086722207, 0.06996355868266813, 0.9452791482226126, 0.055895436075430904, 0.38256760473123597, 19.919656096690773, 55.5761369989028]"
7,20228.36655507709,20303.366955137535,"[0.4743064065688063, 0.636076348582282, 0.03499845842944982, 0.6360258736015215, 0.21085701794052292, 9966.828124860464, 10.153444893489523]"
8,20233.36625565815,20303.366955137535,"[0.26308141179851363, 0.0789436267815915, 0.959183365456413, 0.7732166029246251, 0.5985503132495185, 4.903624999681444, 27.320735397351104]"
9,20260.36626636162,20303.366955137535,"[0.7466817465890713, 0.5097889233103708, 0.5418443541932582, 0.0964791211340511, 0.49403411970123423, 9984.245983793855, 2.0600665969045107]"
10,20272.366285524364,20303.366955137535,"[0.12683005941568748, 0.302020509875606, 0.5292838153212253, 0.8857351916665418, 0.9530873600615994, 6.67755759111488, 11.370626135478938]"
11,20288.366270770017,20303.366955137535,"[0.8895032163772203, 0.49588816288301496, 0.753111902271045, 0.32739219210471293, 0.037850227294440764, 9992.613164499111, 30.100441935969954]"
12,20307.366031848058,20307.366031848058,"[0.5150893238321905, 0.15626190417664032, 0.30110428596009786, 0.2766239957826626, 0.6675208538896001, 0.9485885662474658, 33.08227613737858]"
13,20334.36622340501,20334.36622340501,"[0.5057123041916702, 0.12089631545309787, 0.047396721775931794, 0.2476146606671188, 0.4212028072265105, 9983.195405670549, 12.771225543606231]"
14,20347.366466445517,20347.366466445517,"[0.39984864354323235, 0.27179475909394146, 0.6917217376082835, 0.3891594789074251, 0.8488458236373402, 10.396398688558017, 22.854375394493232]"
15,20369.366717586174,20369.366717586174,"[0.9595305031932048, 0.5537503430423287, 0.5874690616978485, 0.23132142895337338, 0.7595262717908337, 9981.687694615828, 54.51127257863154]"
16,20382.36679010764,20382.36679010764,"[0.083674259409658, 0.2107122935657394, 0.8001001382698344, 0.8348556594959229, 0.35267467377568795, 13.509141587025875, 38.511867274310035]"
17,20399.366788581956,20399.366788581956,"[0.8649560152961391, 0.15641638570393024, 0.9078851167242127, 0.6603418284391694, 0.46521156703939803, 7304.852974461038, 27.846326705972334]"
18,20439.36675804592,20439.36675804592,"[0.32130421021392586, 0.8123791150220924, 0.16823905582257392, 0.2096303686754618, 0.27242366701231535, 9999.650960268986, 9.893128091652642]"
19,20442.366469012737,20442.366469012737,"[0.11207556638531524, 0.3628805941512502, 0.38948159281242345, 0.5424892814905006, 0.584981123413472, 0.5056362366850919, 43.06282876092212]"
20,20460.366434262665,20460.366434262665,"[0.2159365024744455, 0.6726949719237454, 0.3150054199529393, 0.06962467376472625, 0.7484147475984315, 9996.395646383267, 36.115906548273934]"
21,20478.366475976345,20478.366475976345,"[0.48486985542223293, 0.18243434518640467, 0.21282525940091201, 0.13387950313245855, 0.8867542569258101, 9.120291829062266, 25.15551247085747]"
22,20491.36661480958,20491.36661480958,"[0.431292560530927, 0.7008013377303157, 0.5273953532407593, 0.22673404365581773, 0.8007368175126376, 9322.19749823396, 48.693196607587716]"
23,20514.366883592214,20514.366883592214,"[0.04450591978390195, 0.26163354969700636, 0.10980130408254851, 0.5348386176957037, 0.1523978481905106, 16.030634016416244, 17.355227009825725]"
24,20536.36686985775,20536.36686985775,"[0.3269846657930293, 0.6226879564342676, 0.4786101913177421, 0.5587813357331952, 0.46306179733716035, 9996.544732892336, 38.479276880101146]"
25,20546.36683816402,20546.36683816402,"[0.6145250648327534, 0.9232555939178841, 0.047491052476971496, 0.6176189345251265, 0.5551575102498406, 15.913495321411286, 38.04636974417276]"
26,20572.367694710192,20572.367694710192,"[0.5977470694827584, 0.762636954625056, 0.8432481230715329, 0.12899925851485017, 0.4325789722727873, 9984.92361458136, 57.217389330758536]"
27,20620.36916277875,20620.36916277875,"[0.7776711996916935, 0.6774234538763011, 0.9309458239598573, 0.7557541920313869, 0.04959577282813121, 9.068850637448111, 18.59484658145816]"
28,20635.369400713942,20635.369400713942,"[0.8678251155270069, 0.588497403511479, 0.4376882370230589, 0.06589910540040589, 0.957473574906275, 9956.768521014397, 11.810867850031677]"
29,20704.369507352592,20704.369507352592,"[0.6432607521568285, 0.10766465809777837, 0.10048742032498881, 0.49305744630974047, 0.8815955722423833, 8.391883207355955, 7.195985990167266]"
30,20680.369613268067,20704.369507352592,"[0.445708728780544, 0.6792910877714419, 0.10859355607094612, 0.7574505281189226, 0.09581289524636871, 9984.228296813057, 26.7827091784236]"
31,20675.369627085216,20704.369507352592,"[0.8652897820099986, 0.2799005105738597, 0.7508868419388227, 0.98585969497829, 0.7663862379601873, 9.082107825910679, 24.265394536716588]"
32,20704.369748573423,20704.369748573423,"[0.13952815597975132, 0.955679692103521, 0.3908655091967894, 0.8340370747287937, 0.9817003487530112, 9976.648662771884, 37.40396223110056]"
33,20728.369688163464,20728.369688163464,"[0.6568915273851885, 0.3920817755762248, 0.9919198380018424, 0.7953574292316034, 0.41214479441203133, 2.5805585441041057, 23.12938150486222]"
34,20742.369735371038,20742.369735371038,"[0.2525206905419837, 0.43769781504787675, 0.9343473286989749, 0.9725810483250972, 0.09969476300453817, 9982.51253072903, 15.56313554065052]"
